Date,City,Mean Temp,DAY OF THE WEEK
2016-01-01,NEW YORK NY,38,FRIDAY
2016-01-02,NEW YORK NY,36,SATURDAY
2016-01-03,NEW YORK NY,40,SUNDAY
2016-01-04,NEW YORK NY,25,MONDAY
2016-01-05,NEW YORK NY,20,TUESDAY
2016-01-06,NEW YORK NY,33,WEDNESDAY
2016-01-07,NEW YORK NY,38.5,THURSDAY
2016-01-08,NEW YORK NY,38.5,FRIDAY
2016-01-09,NEW YORK NY,43.5,SATURDAY
2016-01-10,NEW YORK NY,49.5,SUNDAY
2016-01-11,NEW YORK NY,33,MONDAY
2016-01-12,NEW YORK NY,34.5,TUESDAY
2016-01-13,NEW YORK NY,26,WEDNESDAY
2016-01-14,NEW YORK NY,30,THURSDAY
2016-01-15,NEW YORK NY,42.5,FRIDAY
2016-01-16,NEW YORK NY,47,SATURDAY
2016-01-17,NEW YORK NY,36,SUNDAY
2016-01-18,NEW YORK NY,24.5,MONDAY
2016-01-19,NEW YORK NY,22,TUESDAY
2016-01-20,NEW YORK NY,32,WEDNESDAY
2016-01-21,NEW YORK NY,31,THURSDAY
2016-01-22,NEW YORK NY,25.5,FRIDAY
2016-01-23,NEW YORK NY,25.5,SATURDAY
2016-01-24,NEW YORK NY,27.5,SUNDAY
2016-01-25,NEW YORK NY,33.5,MONDAY
2016-01-26,NEW YORK NY,43,TUESDAY
2016-01-27,NEW YORK NY,40.5,WEDNESDAY
2016-01-28,NEW YORK NY,37,THURSDAY
2016-01-29,NEW YORK NY,35.5,FRIDAY
2016-01-30,NEW YORK NY,33.5,SATURDAY
2016-01-31,NEW YORK NY,46,SUNDAY
2016-02-01,NEW YORK NY,51.5,MONDAY
2016-02-02,NEW YORK NY,44,TUESDAY
2016-02-03,NEW YORK NY,50.5,WEDNESDAY
2016-02-04,NEW YORK NY,51.5,THURSDAY
2016-02-05,NEW YORK NY,37.5,FRIDAY
2016-02-06,NEW YORK NY,35,SATURDAY
2016-02-07,NEW YORK NY,40,SUNDAY
2016-02-08,NEW YORK NY,33.5,MONDAY
2016-02-09,NEW YORK NY,31.5,TUESDAY
2016-02-10,NEW YORK NY,35,WEDNESDAY
2016-02-11,NEW YORK NY,24.5,THURSDAY
2016-02-12,NEW YORK NY,21,FRIDAY
2016-02-13,NEW YORK NY,14,SATURDAY
2016-02-14,NEW YORK NY,7,SUNDAY
2016-02-15,NEW YORK NY,24,MONDAY
2016-02-16,NEW YORK NY,44.5,TUESDAY
2016-02-17,NEW YORK NY,37,WEDNESDAY
2016-02-18,NEW YORK NY,31.5,THURSDAY
2016-02-19,NEW YORK NY,31.5,FRIDAY
2016-02-20,NEW YORK NY,50,SATURDAY
2016-02-21,NEW YORK NY,49.5,SUNDAY
2016-02-22,NEW YORK NY,45,MONDAY
2016-02-23,NEW YORK NY,37.5,TUESDAY
2016-02-24,NEW YORK NY,48,WEDNESDAY
2016-02-25,NEW YORK NY,49,THURSDAY
2016-02-26,NEW YORK NY,33,FRIDAY
2016-02-27,NEW YORK NY,33.5,SATURDAY
2016-02-28,NEW YORK NY,49,SUNDAY
2016-02-29,NEW YORK NY,54,MONDAY
2016-03-01,NEW YORK NY,45.5,TUESDAY
2016-03-02,NEW YORK NY,42,WEDNESDAY
2016-03-03,NEW YORK NY,31,THURSDAY
2016-03-04,NEW YORK NY,34.5,FRIDAY
2016-03-05,NEW YORK NY,34.5,SATURDAY
2016-03-06,NEW YORK NY,38,SUNDAY
2016-03-07,NEW YORK NY,48,MONDAY
2016-03-08,NEW YORK NY,57,TUESDAY
2016-03-09,NEW YORK NY,60.5,WEDNESDAY
2016-03-10,NEW YORK NY,71,THURSDAY
2016-03-11,NEW YORK NY,58,FRIDAY
2016-03-12,NEW YORK NY,49.5,SATURDAY
2016-03-13,NEW YORK NY,56,SUNDAY
2016-03-14,NEW YORK NY,45.5,MONDAY
2016-03-15,NEW YORK NY,50.5,TUESDAY
2016-03-16,NEW YORK NY,56.5,WEDNESDAY
2016-03-17,NEW YORK NY,54,THURSDAY
2016-03-18,NEW YORK NY,49.5,FRIDAY
2016-03-19,NEW YORK NY,41,SATURDAY
2016-03-20,NEW YORK NY,37.5,SUNDAY
2016-03-21,NEW YORK NY,41,MONDAY
2016-03-22,NEW YORK NY,45.5,TUESDAY
2016-03-23,NEW YORK NY,59.5,WEDNESDAY
2016-03-24,NEW YORK NY,49.5,THURSDAY
2016-03-25,NEW YORK NY,58,FRIDAY
2016-03-26,NEW YORK NY,46.5,SATURDAY
2016-03-27,NEW YORK NY,49,SUNDAY
2016-03-28,NEW YORK NY,52,MONDAY
2016-03-29,NEW YORK NY,46.5,TUESDAY
2016-03-30,NEW YORK NY,46.5,WEDNESDAY
2016-03-31,NEW YORK NY,61,THURSDAY
2016-04-01,NEW YORK NY,70,FRIDAY
2016-04-02,NEW YORK NY,55,SATURDAY
2016-04-03,NEW YORK NY,42,SUNDAY
2016-04-04,NEW YORK NY,37,MONDAY
2016-04-05,NEW YORK NY,34.5,TUESDAY
2016-04-06,NEW YORK NY,39,WEDNESDAY
2016-04-07,NEW YORK NY,53,THURSDAY
2016-04-08,NEW YORK NY,45,FRIDAY
2016-04-09,NEW YORK NY,39.5,SATURDAY
2016-04-10,NEW YORK NY,40.5,SUNDAY
2016-04-11,NEW YORK NY,54,MONDAY
2016-04-12,NEW YORK NY,52,TUESDAY
2016-04-13,NEW YORK NY,49,WEDNESDAY
2016-04-14,NEW YORK NY,52.5,THURSDAY
2016-04-15,NEW YORK NY,53.5,FRIDAY
2016-04-16,NEW YORK NY,55.5,SATURDAY
2016-04-17,NEW YORK NY,59.5,SUNDAY
2016-04-18,NEW YORK NY,66.5,MONDAY
2016-04-19,NEW YORK NY,64,TUESDAY
2016-04-20,NEW YORK NY,59,WEDNESDAY
2016-04-21,NEW YORK NY,61,THURSDAY
2016-04-22,NEW YORK NY,70.5,FRIDAY
2016-04-23,NEW YORK NY,62.5,SATURDAY
2016-04-24,NEW YORK NY,57.5,SUNDAY
2016-04-25,NEW YORK NY,59.5,MONDAY
2016-04-26,NEW YORK NY,53.5,TUESDAY
2016-04-27,NEW YORK NY,54,WEDNESDAY
2016-04-28,NEW YORK NY,53.5,THURSDAY
2016-04-29,NEW YORK NY,51.5,FRIDAY
2016-04-30,NEW YORK NY,55.5,SATURDAY
2016-05-01,NEW YORK NY,48,SUNDAY
2016-05-02,NEW YORK NY,52.5,MONDAY
2016-05-03,NEW YORK NY,53.5,TUESDAY
2016-05-04,NEW YORK NY,50,WEDNESDAY
2016-05-05,NEW YORK NY,51.5,THURSDAY
2016-05-06,NEW YORK NY,51,FRIDAY
2016-05-07,NEW YORK NY,54,SATURDAY
2016-05-08,NEW YORK NY,57.5,SUNDAY
2016-05-09,NEW YORK NY,62,MONDAY
2016-05-10,NEW YORK NY,56.5,TUESDAY
2016-05-11,NEW YORK NY,63,WEDNESDAY
2016-05-12,NEW YORK NY,68,THURSDAY
2016-05-13,NEW YORK NY,61,FRIDAY
2016-05-14,NEW YORK NY,64.5,SATURDAY
2016-05-15,NEW YORK NY,52.5,SUNDAY
2016-05-16,NEW YORK NY,54.5,MONDAY
2016-05-17,NEW YORK NY,58,TUESDAY
2016-05-18,NEW YORK NY,60,WEDNESDAY
2016-05-19,NEW YORK NY,63.5,THURSDAY
2016-05-20,NEW YORK NY,64.5,FRIDAY
2016-05-21,NEW YORK NY,60,SATURDAY
2016-05-22,NEW YORK NY,61,SUNDAY
2016-05-23,NEW YORK NY,67,MONDAY
2016-05-24,NEW YORK NY,65.5,TUESDAY
2016-05-25,NEW YORK NY,74.5,WEDNESDAY
2016-05-26,NEW YORK NY,79.5,THURSDAY
2016-05-27,NEW YORK NY,80,FRIDAY
2016-05-28,NEW YORK NY,81.5,SATURDAY
2016-05-29,NEW YORK NY,78.5,SUNDAY
2016-05-30,NEW YORK NY,75,MONDAY
2016-05-31,NEW YORK NY,78,TUESDAY
2016-06-01,NEW YORK NY,74.5,WEDNESDAY
2016-06-02,NEW YORK NY,70,THURSDAY
2016-06-03,NEW YORK NY,66.5,FRIDAY
2016-06-04,NEW YORK NY,74.5,SATURDAY
2016-06-05,NEW YORK NY,68,SUNDAY
2016-06-06,NEW YORK NY,74,MONDAY
2016-06-07,NEW YORK NY,74.5,TUESDAY
2016-06-08,NEW YORK NY,59.5,WEDNESDAY
2016-06-09,NEW YORK NY,62.5,THURSDAY
2016-06-10,NEW YORK NY,67,FRIDAY
2016-06-11,NEW YORK NY,73.5,SATURDAY
2016-06-12,NEW YORK NY,72.5,SUNDAY
2016-06-13,NEW YORK NY,65.5,MONDAY
2016-06-14,NEW YORK NY,68.5,TUESDAY
2016-06-15,NEW YORK NY,73.5,WEDNESDAY
2016-06-16,NEW YORK NY,69.5,THURSDAY
2016-06-17,NEW YORK NY,70.5,FRIDAY
2016-06-18,NEW YORK NY,74,SATURDAY
2016-06-19,NEW YORK NY,77,SUNDAY
2016-06-20,NEW YORK NY,74,MONDAY
2016-06-21,NEW YORK NY,79.5,TUESDAY
2016-06-22,NEW YORK NY,77,WEDNESDAY
2016-06-23,NEW YORK NY,76,THURSDAY
2016-06-24,NEW YORK NY,75.5,FRIDAY
2016-06-25,NEW YORK NY,75,SATURDAY
2016-06-26,NEW YORK NY,77,SUNDAY
2016-06-27,NEW YORK NY,75,MONDAY
2016-06-28,NEW YORK NY,72,TUESDAY
2016-06-29,NEW YORK NY,75,WEDNESDAY
2016-06-30,NEW YORK NY,76,THURSDAY
2016-07-01,NEW YORK NY,72.5,FRIDAY
2016-07-02,NEW YORK NY,69.5,SATURDAY
2016-07-03,NEW YORK NY,71,SUNDAY
2016-07-04,NEW YORK NY,75,MONDAY
2016-07-05,NEW YORK NY,77.5,TUESDAY
2016-07-06,NEW YORK NY,83,WEDNESDAY
2016-07-07,NEW YORK NY,83,THURSDAY
2016-07-08,NEW YORK NY,76.5,FRIDAY
2016-07-09,NEW YORK NY,68.5,SATURDAY
2016-07-10,NEW YORK NY,73,SUNDAY
2016-07-11,NEW YORK NY,73,MONDAY
2016-07-12,NEW YORK NY,75,TUESDAY
2016-07-13,NEW YORK NY,78,WEDNESDAY
2016-07-14,NEW YORK NY,80.5,THURSDAY
2016-07-15,NEW YORK NY,83.5,FRIDAY
2016-07-16,NEW YORK NY,82.5,SATURDAY
2016-07-17,NEW YORK NY,82,SUNDAY
2016-07-18,NEW YORK NY,82.5,MONDAY
2016-07-19,NEW YORK NY,78,TUESDAY
2016-07-20,NEW YORK NY,76.5,WEDNESDAY
2016-07-21,NEW YORK NY,80.5,THURSDAY
2016-07-22,NEW YORK NY,84,FRIDAY
2016-07-23,NEW YORK NY,88,SATURDAY
2016-07-24,NEW YORK NY,84.5,SUNDAY
2016-07-25,NEW YORK NY,83,MONDAY
2016-07-26,NEW YORK NY,80.5,TUESDAY
2016-07-27,NEW YORK NY,82.5,WEDNESDAY
2016-07-28,NEW YORK NY,85,THURSDAY
2016-07-29,NEW YORK NY,77,FRIDAY
2016-07-30,NEW YORK NY,78.5,SATURDAY
2016-07-31,NEW YORK NY,74.5,SUNDAY
2016-08-01,NEW YORK NY,74.5,MONDAY
2016-08-02,NEW YORK NY,73.5,TUESDAY
2016-08-03,NEW YORK NY,73,WEDNESDAY
2016-08-04,NEW YORK NY,74,THURSDAY
2016-08-05,NEW YORK NY,76,FRIDAY
2016-08-06,NEW YORK NY,79.5,SATURDAY
2016-08-07,NEW YORK NY,78,SUNDAY
2016-08-08,NEW YORK NY,78.5,MONDAY
2016-08-09,NEW YORK NY,79,TUESDAY
2016-08-10,NEW YORK NY,80.5,WEDNESDAY
2016-08-11,NEW YORK NY,82.5,THURSDAY
2016-08-12,NEW YORK NY,83,FRIDAY
2016-08-13,NEW YORK NY,88.5,SATURDAY
2016-08-14,NEW YORK NY,86,SUNDAY
2016-08-15,NEW YORK NY,84.5,MONDAY
2016-08-16,NEW YORK NY,82.5,TUESDAY
2016-08-17,NEW YORK NY,81,WEDNESDAY
2016-08-18,NEW YORK NY,78.5,THURSDAY
2016-08-19,NEW YORK NY,81,FRIDAY
2016-08-20,NEW YORK NY,76.5,SATURDAY
2016-08-21,NEW YORK NY,79.5,SUNDAY
2016-08-22,NEW YORK NY,72,MONDAY
2016-08-23,NEW YORK NY,71.5,TUESDAY
2016-08-24,NEW YORK NY,78,WEDNESDAY
2016-08-25,NEW YORK NY,77.5,THURSDAY
2016-08-26,NEW YORK NY,82.5,FRIDAY
2016-08-27,NEW YORK NY,81,SATURDAY
2016-08-28,NEW YORK NY,80.5,SUNDAY
2016-08-29,NEW YORK NY,82.5,MONDAY
2016-08-30,NEW YORK NY,77.5,TUESDAY
2016-08-31,NEW YORK NY,81.5,WEDNESDAY
2016-09-01,NEW YORK NY,74,THURSDAY
2016-09-02,NEW YORK NY,73.5,FRIDAY
2016-09-03,NEW YORK NY,70.5,SATURDAY
2016-09-04,NEW YORK NY,72.5,SUNDAY
2016-09-05,NEW YORK NY,74.5,MONDAY
2016-09-06,NEW YORK NY,75.5,TUESDAY
2016-09-07,NEW YORK NY,78,WEDNESDAY
2016-09-08,NEW YORK NY,80,THURSDAY
2016-09-09,NEW YORK NY,83,FRIDAY
2016-09-10,NEW YORK NY,82,SATURDAY
2016-09-11,NEW YORK NY,75,SUNDAY
2016-09-12,NEW YORK NY,70,MONDAY
2016-09-13,NEW YORK NY,73.5,TUESDAY
2016-09-14,NEW YORK NY,79,WEDNESDAY
2016-09-15,NEW YORK NY,67.5,THURSDAY
2016-09-16,NEW YORK NY,67,FRIDAY
2016-09-17,NEW YORK NY,68,SATURDAY
2016-09-18,NEW YORK NY,76,SUNDAY
2016-09-19,NEW YORK NY,72.5,MONDAY
2016-09-20,NEW YORK NY,75,TUESDAY
2016-09-21,NEW YORK NY,76,WEDNESDAY
2016-09-22,NEW YORK NY,75.5,THURSDAY
2016-09-23,NEW YORK NY,75.5,FRIDAY
2016-09-24,NEW YORK NY,64.5,SATURDAY
2016-09-25,NEW YORK NY,62,SUNDAY
2016-09-26,NEW YORK NY,64,MONDAY
2016-09-27,NEW YORK NY,69,TUESDAY
2016-09-28,NEW YORK NY,62.5,WEDNESDAY
2016-09-29,NEW YORK NY,60.5,THURSDAY
2016-09-30,NEW YORK NY,57.5,FRIDAY
2016-10-01,NEW YORK NY,59,SATURDAY
2016-10-02,NEW YORK NY,60,SUNDAY
2016-10-03,NEW YORK NY,66,MONDAY
2016-10-04,NEW YORK NY,64.5,TUESDAY
2016-10-05,NEW YORK NY,60,WEDNESDAY
2016-10-06,NEW YORK NY,64,THURSDAY
2016-10-07,NEW YORK NY,66,FRIDAY
2016-10-08,NEW YORK NY,63,SATURDAY
2016-10-09,NEW YORK NY,58,SUNDAY
2016-10-10,NEW YORK NY,55.5,MONDAY
2016-10-11,NEW YORK NY,54.5,TUESDAY
2016-10-12,NEW YORK NY,59.5,WEDNESDAY
2016-10-13,NEW YORK NY,60,THURSDAY
2016-10-14,NEW YORK NY,54.5,FRIDAY
2016-10-15,NEW YORK NY,55,SATURDAY
2016-10-16,NEW YORK NY,61,SUNDAY
2016-10-17,NEW YORK NY,72,MONDAY
2016-10-18,NEW YORK NY,74,TUESDAY
2016-10-19,NEW YORK NY,75,WEDNESDAY
2016-10-20,NEW YORK NY,66,THURSDAY
2016-10-21,NEW YORK NY,63,FRIDAY
2016-10-22,NEW YORK NY,52,SATURDAY
2016-10-23,NEW YORK NY,53,SUNDAY
2016-10-24,NEW YORK NY,54.5,MONDAY
2016-10-25,NEW YORK NY,47.5,TUESDAY
2016-10-26,NEW YORK NY,44.5,WEDNESDAY
2016-10-27,NEW YORK NY,47.5,THURSDAY
2016-10-28,NEW YORK NY,46.5,FRIDAY
2016-10-29,NEW YORK NY,51.5,SATURDAY
2016-10-30,NEW YORK NY,65,SUNDAY
2016-10-31,NEW YORK NY,49,MONDAY
2016-11-01,NEW YORK NY,49,TUESDAY
2016-11-02,NEW YORK NY,62,WEDNESDAY
2016-11-03,NEW YORK NY,64.5,THURSDAY
2016-11-04,NEW YORK NY,54,FRIDAY
2016-11-05,NEW YORK NY,53,SATURDAY
2016-11-06,NEW YORK NY,52,SUNDAY
2016-11-07,NEW YORK NY,47,MONDAY
2016-11-08,NEW YORK NY,53.5,TUESDAY
2016-11-09,NEW YORK NY,54,WEDNESDAY
2016-11-10,NEW YORK NY,48,THURSDAY
2016-11-11,NEW YORK NY,52,FRIDAY
2016-11-12,NEW YORK NY,43.5,SATURDAY
2016-11-13,NEW YORK NY,51,SUNDAY
2016-11-14,NEW YORK NY,54,MONDAY
2016-11-15,NEW YORK NY,51.5,TUESDAY
2016-11-16,NEW YORK NY,53,WEDNESDAY
2016-11-17,NEW YORK NY,55,THURSDAY
2016-11-18,NEW YORK NY,54,FRIDAY
2016-11-19,NEW YORK NY,50,SATURDAY
2016-11-20,NEW YORK NY,38,SUNDAY
2016-11-21,NEW YORK NY,38.5,MONDAY
2016-11-22,NEW YORK NY,39,TUESDAY
2016-11-23,NEW YORK NY,40,WEDNESDAY
2016-11-24,NEW YORK NY,43,THURSDAY
2016-11-25,NEW YORK NY,49.5,FRIDAY
2016-11-26,NEW YORK NY,45,SATURDAY
2016-11-27,NEW YORK NY,44.5,SUNDAY
2016-11-28,NEW YORK NY,45,MONDAY
2016-11-29,NEW YORK NY,55.5,TUESDAY
2016-11-30,NEW YORK NY,54,WEDNESDAY
2016-12-01,NEW YORK NY,48,THURSDAY
2016-12-02,NEW YORK NY,45.5,FRIDAY
2016-12-03,NEW YORK NY,44,SATURDAY
2016-12-04,NEW YORK NY,43,SUNDAY
2016-12-05,NEW YORK NY,43.5,MONDAY
2016-12-06,NEW YORK NY,41.5,TUESDAY
2016-12-07,NEW YORK NY,43,WEDNESDAY
2016-12-08,NEW YORK NY,40,THURSDAY
2016-12-09,NEW YORK NY,34,FRIDAY
2016-12-10,NEW YORK NY,31.5,SATURDAY
2016-12-11,NEW YORK NY,31.5,SUNDAY
2016-12-12,NEW YORK NY,40,MONDAY
2016-12-13,NEW YORK NY,39,TUESDAY
2016-12-14,NEW YORK NY,38,WEDNESDAY
2016-12-15,NEW YORK NY,26.5,THURSDAY
2016-12-16,NEW YORK NY,22,FRIDAY
2016-12-17,NEW YORK NY,31.5,SATURDAY
2016-12-18,NEW YORK NY,44.5,SUNDAY
2016-12-19,NEW YORK NY,27,MONDAY
2016-12-20,NEW YORK NY,26.5,TUESDAY
2016-12-21,NEW YORK NY,35,WEDNESDAY
2016-12-22,NEW YORK NY,43,THURSDAY
2016-12-23,NEW YORK NY,42.5,FRIDAY
2016-12-24,NEW YORK NY,42.5,SATURDAY
2016-12-25,NEW YORK NY,43,SUNDAY
2016-12-26,NEW YORK NY,41.5,MONDAY
2016-12-27,NEW YORK NY,50,TUESDAY
2016-12-28,NEW YORK NY,37,WEDNESDAY
2016-12-29,NEW YORK NY,39.5,THURSDAY
2016-12-30,NEW YORK NY,36.5,FRIDAY
2016-12-31,NEW YORK NY,37.5,SATURDAY
2017-01-01,NEW YORK NY,44,SUNDAY
2017-01-02,NEW YORK NY,39,MONDAY
2017-01-03,NEW YORK NY,41,TUESDAY
2017-01-04,NEW YORK NY,43,WEDNESDAY
2017-01-05,NEW YORK NY,30.5,THURSDAY
2017-01-06,NEW YORK NY,29,FRIDAY
2017-01-07,NEW YORK NY,23,SATURDAY
2017-01-08,NEW YORK NY,20.5,SUNDAY
2017-01-09,NEW YORK NY,18.5,MONDAY
2017-01-10,NEW YORK NY,33.5,TUESDAY
2017-01-11,NEW YORK NY,47,WEDNESDAY
2017-01-12,NEW YORK NY,56.5,THURSDAY
2017-01-13,NEW YORK NY,47,FRIDAY
2017-01-14,NEW YORK NY,31,SATURDAY
2017-01-15,NEW YORK NY,34,SUNDAY
2017-01-16,NEW YORK NY,36.5,MONDAY
2017-01-17,NEW YORK NY,40,TUESDAY
2017-01-18,NEW YORK NY,39.5,WEDNESDAY
2017-01-19,NEW YORK NY,44,THURSDAY
2017-01-20,NEW YORK NY,42.5,FRIDAY
2017-01-21,NEW YORK NY,45,SATURDAY
2017-01-22,NEW YORK NY,45.5,SUNDAY
2017-01-23,NEW YORK NY,40,MONDAY
2017-01-24,NEW YORK NY,36.5,TUESDAY
2017-01-25,NEW YORK NY,43.5,WEDNESDAY
2017-01-26,NEW YORK NY,49.5,THURSDAY
2017-01-27,NEW YORK NY,39.5,FRIDAY
2017-01-28,NEW YORK NY,36.5,SATURDAY
2017-01-29,NEW YORK NY,39,SUNDAY
2017-01-30,NEW YORK NY,33.5,MONDAY
2017-01-31,NEW YORK NY,30,TUESDAY
2017-02-01,NEW YORK NY,40,WEDNESDAY
2017-02-02,NEW YORK NY,38.5,THURSDAY
2017-02-03,NEW YORK NY,29.5,FRIDAY
2017-02-04,NEW YORK NY,28,SATURDAY
2017-02-05,NEW YORK NY,37,SUNDAY
2017-02-06,NEW YORK NY,42.5,MONDAY
2017-02-07,NEW YORK NY,39,TUESDAY
2017-02-08,NEW YORK NY,50,WEDNESDAY
2017-02-09,NEW YORK NY,31.5,THURSDAY
2017-02-10,NEW YORK NY,25.5,FRIDAY
2017-02-11,NEW YORK NY,39,SATURDAY
2017-02-12,NEW YORK NY,35,SUNDAY
2017-02-13,NEW YORK NY,35,MONDAY
2017-02-14,NEW YORK NY,34.5,TUESDAY
2017-02-15,NEW YORK NY,41,WEDNESDAY
2017-02-16,NEW YORK NY,31.5,THURSDAY
2017-02-17,NEW YORK NY,33.5,FRIDAY
2017-02-18,NEW YORK NY,49,SATURDAY
2017-02-19,NEW YORK NY,59,SUNDAY
2017-02-20,NEW YORK NY,47,MONDAY
2017-02-21,NEW YORK NY,40.5,TUESDAY
2017-02-22,NEW YORK NY,49.5,WEDNESDAY
2017-02-23,NEW YORK NY,54.5,THURSDAY
2017-02-24,NEW YORK NY,64,FRIDAY
2017-02-25,NEW YORK NY,53.5,SATURDAY
2017-02-26,NEW YORK NY,40,SUNDAY
2017-02-27,NEW YORK NY,44.5,MONDAY
2017-02-28,NEW YORK NY,53,TUESDAY
2017-03-01,NEW YORK NY,62,WEDNESDAY
2017-03-02,NEW YORK NY,49.5,THURSDAY
2017-03-03,NEW YORK NY,31.5,FRIDAY
2017-03-04,NEW YORK NY,23.5,SATURDAY
2017-03-05,NEW YORK NY,25.5,SUNDAY
2017-03-06,NEW YORK NY,35.5,MONDAY
2017-03-07,NEW YORK NY,49,TUESDAY
2017-03-08,NEW YORK NY,53,WEDNESDAY
2017-03-09,NEW YORK NY,54,THURSDAY
2017-03-10,NEW YORK NY,35,FRIDAY
2017-03-11,NEW YORK NY,23,SATURDAY
2017-03-12,NEW YORK NY,24,SUNDAY
2017-03-13,NEW YORK NY,28,MONDAY
2017-03-14,NEW YORK NY,26.5,TUESDAY
2017-03-15,NEW YORK NY,23,WEDNESDAY
2017-03-16,NEW YORK NY,31.5,THURSDAY
2017-03-17,NEW YORK NY,38,FRIDAY
2017-03-18,NEW YORK NY,36.5,SATURDAY
2017-03-19,NEW YORK NY,40.5,SUNDAY
2017-03-20,NEW YORK NY,42.5,MONDAY
2017-03-21,NEW YORK NY,50.5,TUESDAY
2017-03-22,NEW YORK NY,37,WEDNESDAY
2017-03-23,NEW YORK NY,32.5,THURSDAY
2017-03-24,NEW YORK NY,46.5,FRIDAY
2017-03-25,NEW YORK NY,52,SATURDAY
2017-03-26,NEW YORK NY,39.5,SUNDAY
2017-03-27,NEW YORK NY,45,MONDAY
2017-03-28,NEW YORK NY,43.5,TUESDAY
2017-03-29,NEW YORK NY,51,WEDNESDAY
2017-03-30,NEW YORK NY,45,THURSDAY
2017-03-31,NEW YORK NY,40,FRIDAY
2017-04-01,NEW YORK NY,42.5,SATURDAY
2017-04-02,NEW YORK NY,51.5,SUNDAY
2017-04-03,NEW YORK NY,55.5,MONDAY
2017-04-04,NEW YORK NY,48,TUESDAY
2017-04-05,NEW YORK NY,55,WEDNESDAY
2017-04-06,NEW YORK NY,46.5,THURSDAY
2017-04-07,NEW YORK NY,45.5,FRIDAY
2017-04-08,NEW YORK NY,48.5,SATURDAY
2017-04-09,NEW YORK NY,56,SUNDAY
2017-04-10,NEW YORK NY,63.5,MONDAY
2017-04-11,NEW YORK NY,70.5,TUESDAY
2017-04-12,NEW YORK NY,67,WEDNESDAY
2017-04-13,NEW YORK NY,56.5,THURSDAY
2017-04-14,NEW YORK NY,57,FRIDAY
2017-04-15,NEW YORK NY,58,SATURDAY
2017-04-16,NEW YORK NY,73,SUNDAY
2017-04-17,NEW YORK NY,66,MONDAY
2017-04-18,NEW YORK NY,56,TUESDAY
2017-04-19,NEW YORK NY,49.5,WEDNESDAY
2017-04-20,NEW YORK NY,58,THURSDAY
2017-04-21,NEW YORK NY,50.5,FRIDAY
2017-04-22,NEW YORK NY,53,SATURDAY
2017-04-23,NEW YORK NY,56,SUNDAY
2017-04-24,NEW YORK NY,54,MONDAY
2017-04-25,NEW YORK NY,51.5,TUESDAY
2017-04-26,NEW YORK NY,56.5,WEDNESDAY
2017-04-27,NEW YORK NY,63.5,THURSDAY
2017-04-28,NEW YORK NY,71.5,FRIDAY
2017-04-29,NEW YORK NY,74.5,SATURDAY
2017-04-30,NEW YORK NY,59.5,SUNDAY
2017-05-01,NEW YORK NY,61.5,MONDAY
2017-05-02,NEW YORK NY,68.5,TUESDAY
2017-05-03,NEW YORK NY,58,WEDNESDAY
2017-05-04,NEW YORK NY,55.5,THURSDAY
2017-05-05,NEW YORK NY,55,FRIDAY
2017-05-06,NEW YORK NY,59.5,SATURDAY
2017-05-07,NEW YORK NY,51.5,SUNDAY
2017-05-08,NEW YORK NY,50.5,MONDAY
2017-05-09,NEW YORK NY,55,TUESDAY
2017-05-10,NEW YORK NY,56,WEDNESDAY
2017-05-11,NEW YORK NY,56.5,THURSDAY
2017-05-12,NEW YORK NY,56.5,FRIDAY
2017-05-13,NEW YORK NY,49,SATURDAY
2017-05-14,NEW YORK NY,56.5,SUNDAY
2017-05-15,NEW YORK NY,60.5,MONDAY
2017-05-16,NEW YORK NY,67.5,TUESDAY
2017-05-17,NEW YORK NY,77.5,WEDNESDAY
2017-05-18,NEW YORK NY,83.5,THURSDAY
2017-05-19,NEW YORK NY,78.5,FRIDAY
2017-05-20,NEW YORK NY,60,SATURDAY
2017-05-21,NEW YORK NY,60.5,SUNDAY
2017-05-22,NEW YORK NY,57,MONDAY
2017-05-23,NEW YORK NY,62.5,TUESDAY
2017-05-24,NEW YORK NY,62.5,WEDNESDAY
2017-05-25,NEW YORK NY,57.5,THURSDAY
2017-05-26,NEW YORK NY,64.5,FRIDAY
2017-05-27,NEW YORK NY,65,SATURDAY
2017-05-28,NEW YORK NY,64.5,SUNDAY
2017-05-29,NEW YORK NY,58.5,MONDAY
2017-05-30,NEW YORK NY,57.5,TUESDAY
2017-05-31,NEW YORK NY,66.5,WEDNESDAY
2017-06-01,NEW YORK NY,69,THURSDAY
2017-06-02,NEW YORK NY,66.5,FRIDAY
2017-06-03,NEW YORK NY,64,SATURDAY
2017-06-04,NEW YORK NY,63,SUNDAY
2017-06-05,NEW YORK NY,62.5,MONDAY
2017-06-06,NEW YORK NY,55,TUESDAY
2017-06-07,NEW YORK NY,59,WEDNESDAY
2017-06-08,NEW YORK NY,62,THURSDAY
2017-06-09,NEW YORK NY,66.5,FRIDAY
2017-06-10,NEW YORK NY,75.5,SATURDAY
2017-06-11,NEW YORK NY,81,SUNDAY
2017-06-12,NEW YORK NY,84.5,MONDAY
2017-06-13,NEW YORK NY,85.5,TUESDAY
2017-06-14,NEW YORK NY,76.5,WEDNESDAY
2017-06-15,NEW YORK NY,70,THURSDAY
2017-06-16,NEW YORK NY,65.5,FRIDAY
2017-06-17,NEW YORK NY,70,SATURDAY
